Juggernaut STATS,|
PATCH,CATEGORY,ORDINAL RANK,PERCENT VALUE
7.06,Highest winrate,91,47
7.06,Most picked,24,12
7.06,Most contested,29,24
7.06,Most banned,37,12
7.06,Most first-picked,86,0
7.06,Most banned in first ban phase,83,1
7.05,Highest winrate,39,51
7.05,Most picked,3,32
7.05,Most contested,8,57
7.05,Most banned,14,25
7.05,Most first-picked,21,1
7.05,Most banned in first ban phase,24,3
7.04,Highest winrate,57,46
7.04,Most picked,2,40
7.04,Most contested,5,77
7.04,Most banned,7,38
7.04,Most first-picked,21,1
7.04,Most banned in first ban phase,11,8
7.03,Highest winrate,41,49
7.03,Most picked,1,46
7.03,Most contested,4,75
7.03,Most banned,11,29
7.03,Most first-picked,17,1
7.03,Most banned in first ban phase,28,2
7.02,Highest winrate,42,52
7.02,Most picked,4,31
7.02,Most contested,5,60
7.02,Most banned,9,29
7.02,Most first-picked,40,0
7.02,Most banned in first ban phase,23,3
7.01,Highest winrate,54,49
7.01,Most picked,7,29
7.01,Most contested,9,57
7.01,Most banned,10,28
7.01,Most first-picked,34,0
7.01,Most banned in first ban phase,19,4
7.00,Highest winrate,54,49
7.00,Most picked,7,21
7.00,Most contested,7,44
7.00,Most banned,8,23
7.00,Most banned in first ban phase,24,3
6.88F,Highest winrate,63,49
6.88F,Most picked,2,34
6.88F,Most contested,4,61
6.88F,Most banned,8,27
6.88F,Most first-picked,16,2
6.88F,Most banned in first ban phase,22,5
6.88e,Highest winrate,62,46
6.88e,Most picked,4,33
6.88e,Most contested,7,63
6.88e,Most banned,9,29
6.88e,Most first-picked,23,1
6.88e,Most banned in first ban phase,22,4
6.88d,Highest winrate,38,54
6.88d,Most picked,5,35
6.88d,Most contested,8,64
6.88d,Most banned,11,29
6.88d,Most first-picked,20,1
6.88d,Most banned in first ban phase,18,5
6.88c,Highest winrate,42,50
6.88c,Most picked,4,37
6.88c,Most contested,8,63
6.88c,Most banned,13,26
6.88c,Most first-picked,18,1
6.88c,Most banned in first ban phase,26,2
6.88b,Highest winrate,51,52
6.88b,Most picked,5,28
6.88b,Most contested,9,52
6.88b,Most banned,14,24
6.88b,Most first-picked,34,0
6.88b,Most banned in first ban phase,28,2
6.88,Highest winrate,51,52
6.88,Most picked,6,32
6.88,Most contested,13,52
6.88,Most banned,19,20
6.88,Most first-picked,38,0
6.88,Most banned in first ban phase,27,2
6.87,Highest winrate,50,50
6.87,Most picked,16,19
6.87,Most contested,16,39
6.87,Most banned,16,20
6.87,Most banned in first ban phase,69,0
6.86,Highest winrate,23,54
6.86,Most picked,16,18
6.86,Most contested,18,39
6.86,Most banned,18,21
6.86,Most first-picked,63,0
6.86,Most banned in first ban phase,43,1
6.85,Highest winrate,29,54
6.85,Most picked,23,16
6.85,Most contested,24,31
6.85,Most banned,21,15
6.85,Most first-picked,36,0
6.85,Most banned in first ban phase,65,0
6.84,Highest winrate,21,54
6.84,Most picked,41,8
6.84,Most contested,39,15
6.84,Most banned,40,7
6.84,Most banned in first ban phase,85,0
6.83,Highest winrate,14,56
6.83,Most picked,6,30
6.83,Most contested,6,62
6.83,Most banned,6,33
6.83,Most first-picked,7,6
6.83,Most banned in first ban phase,7,16
6.82,Highest winrate,44,51
6.82,Most picked,91,2
6.82,Most contested,95,2
6.82,Most banned,101,0
6.82,Most banned in first ban phase,72,0
6.81b,Highest winrate,44,51
6.81b,Most picked,65,4
6.81b,Most contested,62,6
6.81b,Most banned,69,2
6.81b,Most first-picked,47,0
6.81b,Most banned in first ban phase,58,0
6.81,Highest winrate,2,60
6.81,Most picked,82,2
6.81,Most contested,88,2
6.81,Most banned,102,0
6.80,Highest winrate,6,57
6.80,Most picked,80,2
6.80,Most contested,71,4
6.80,Most banned,62,2
6.79,Highest winrate,20,54
6.79,Most picked,45,7
6.79,Most contested,48,12
6.79,Most banned,46,5
6.79,Most banned in first ban phase,58,0
6.78,Highest winrate,35,51
6.78,Most picked,51,6
6.78,Most contested,43,13
6.78,Most banned,37,6
6.78,Most first-picked,39,0
6.78,Most banned in first ban phase,51,0
6.77,Highest winrate,75,43
6.77,Most picked,29,11
6.77,Most contested,27,24
6.77,Most banned,28,12
6.77,Most banned in first ban phase,51,0
6.76,Highest winrate,62,39
6.76,Most picked,45,6
6.76,Most contested,42,13
6.76,Most banned,39,7
6.75,Most picked,22,16
6.75,Most contested,27,26
6.75,Most banned,29,10
6.74 and below,Highest winrate,35,48
6.74 and below,Most picked,40,5
6.74 and below,Most contested,47,6
6.74 and below,Most banned,57,1
